Sp.,Treatment,Biomass,Copper
RLCS01,C,39.20,0.04
RLCS01,C,32.50,0.07
RLCS01,C,32.70,0.11
RLCS01,C,31.60,0.08
RLCS01,C,NA,NA
RLCS01,G,24.50,27.98
RLCS01,G,25.00,27.93
RLCS01,G,26.10,28.66
RLCS01,G,23.20,30.98
RLCS01,G,24.50,28.83
RLCS01,A,24.40,42.61
RLCS01,A,25.30,42.20
RLCS01,A,24.30,17.89
RLCS01,A,24.60,39.71
RLCS01,A,25.40,39.56
RLCS15,C,52.60,0.07
RLCS15,C,15.50,0.15
RLCS15,C,47.10,0.10
RLCS15,C,46.70,0.09
RLCS15,C,NA,NA
RLCS15,G,32.70,7.06
RLCS15,G,32.00,7.23
RLCS15,G,31.20,6.48
RLCS15,G,NA,NA
RLCS15,G,31.80,6.28
RLCS15,A,30.40,8.34
RLCS15,A,29.40,8.13
RLCS15,A,29.20,7.78
RLCS15,A,33.00,8.37
RLCS15,A,27.40,9.81
RLCS02,C,44.90,0.06
RLCS02,C,57.20,0.06
RLCS02,C,62.90,0.06
RLCS02,C,46.50,0.08
RLCS02,C,40.30,0.08
RLCS02,G,43.50,9.04
RLCS02,G,57.20,9.07
RLCS02,G,42.60,8.60
RLCS02,G,40.60,7.39
RLCS02,G,37.50,5.98
RLCS02,A,43.60,8.50
RLCS02,A,40.50,8.56
RLCS02,A,40.70,8.45
RLCS02,A,67.20,3.96
RLCS02,A,44.80,8.88
RLCS04,C,41.50,0.06
RLCS04,C,44.10,0.05
RLCS04,C,45.20,0.05
RLCS04,C,42.40,0.06
RLCS04,C,45.00,0.04
RLCS04,G,16.30,18.20
RLCS04,G,15.70,17.99
RLCS04,G,17.30,17.84
RLCS04,G,19.70,15.47
RLCS04,G,19.30,15.10
RLCS04,A,36.10,8.53
RLCS04,A,31.60,9.18
RLCS04,A,32.20,9.88
RLCS04,A,30.80,10.04
RLCS04,A,33.50,9.12
RLCS08,C,NA,NA
RLCS08,C,112.30,0.03
RLCS08,C,NA,NA
RLCS08,C,108.30,0.03
RLCS08,C,113.20,0.02
RLCS08,G,45.50,10.36
RLCS08,G,43.10,11.04
RLCS08,G,45.00,11.50
RLCS08,G,30.50,16.90
RLCS08,G,43.10,10.39
RLCS08,A,71.00,4.70
RLCS08,A,63.50,4.71
RLCS08,A,66.70,4.60
RLCS08,A,68.00,4.76
RLCS08,A,59.20,5.46
RLCS05,C,54.50,0.05
RLCS05,C,64.80,0.06
RLCS05,C,68.90,0.05
RLCS05,C,62.40,0.05
RLCS05,C,62.70,0.05
RLCS05,G,64.20,22.93
RLCS05,G,57.60,22.97
