Species,Trt,Mean,Mean_Control,ES_B
RLCS06,Abrupt,56.44,97.63,-41.185
RLCS06,Gradual,57.16,97.63,-40.465
RLCS22,Abrupt,73.375,98.30,-24.925
RLCS22,Gradual,78.54,98.30,-19.76
RLCS27,Abrupt,41.98,140.63,-98.6533
RLCS27,Gradual,47.28,140.63,-93.3533
RLCS15,Abrupt,29.88,42.98,-13.095
RLCS15,Gradual,31.925,42.98,-11.05
RLCS04,Abrupt,32.84,43.64,-10.8
RLCS04,Gradual,17.66,43.64,-25.98
RLCS05,Abrupt,40.86,62.66,-21.8
RLCS05,Gradual,61.92,62.66,-0.74
RLCS14,Abrupt,34.1,104.72,-70.62
RLCS14,Gradual,11.82,104.72,-92.9
RLCS10,Abrupt,65.9,150.86,-84.96
RLCS10,Gradual,58.28,150.86,-92.58
RLCS12,Abrupt,33.3,46.04,-12.74
RLCS12,Gradual,31.62,46.04,-14.42
RLCS18,Abrupt,42.76,76.14,-33.38
RLCS18,Gradual,27.18,76.14,-48.96
RLCS02,Abrupt,47.36,50.36,-3
RLCS02,Gradual,44.28,50.36,-6.08
RLCS13,Abrupt,47.22,59.92,-12.7
RLCS13,Gradual,46,59.92,-13.92
RLCS30,Abrupt,46.1,82.20,-36.1
RLCS30,Gradual,49.92,82.20,-32.28
RLCS16,Abrupt,64.8,113.38,-48.58
RLCS16,Gradual,43.76,113.38,-69.62
RLCS01,Abrupt,24.8,34.00,-9.2
RLCS01,Gradual,24.66,34.00,-9.34
RLCS08,Abrupt,65.68,111.27,-45.5867
RLCS08,Gradual,41.44,111.27,-69.8267
RLCS32,Abrupt,50.54,85.34,-34.8
RLCS32,Gradual,66,85.34,-19.34
